Nome,Età,Salario
Alessandro,34,33000
Francesco,27,25000
Marco,41,38000
Luca,19,18000
Matteo,52,47000
Giovanni,63,34000
Andrea,29,27000
Davide,38,36000
Simone,45,42000
Stefano,31,30000
Gabriele,26,24000
Riccardo,36,35000
Federico,28,26000
Lorenzo,47,43000
Pietro,55,48000
Enrico,44,41000
Nicola,23,22000
Paolo,50,46000
Michele,39,37000
Roberto,58,45000
Angelo,60,42000
Antonio,48,44000
Filippo,33,32000
Emanuele,21,20000
Daniele,37,35000
Massimo,54,47000
Giulio,24,23000
Carlo,42,39000
Emilio,65,30000
Sergio,70,25000
Claudio,46,40000
Vincenzo,51,44000
Salvatore,59,43000
Luigi,40,36000
Anna,30,29000
Maria,62,31000
Giulia,25,24000
Francesca,35,34000
Laura,32,30000
Martina,27,26000
Elena,43,38000
Sara,29,28000
Valentina,34,33000
Alessia,22,21000
Federica,31,30000
Silvia,38,36000
Paola,49,42000
Chiara,26,24000
Roberta,53,46000
Isabella,20,19000
