Nome,Cognome,Matematica,Informatica,Fisica
Alessandro,Rossi,28,27,26
Francesco,Bianchi,24,22,25
Marco,Bruno,30L,29,28
Luca,Greco,18,20,19
Matteo,Fontana,22,24,23
Giovanni,Galli,16,15,14
Andrea,Marini,25,26,27
Davide,Moretti,27,28,26
Simone,Ricci,21,20,22
Stefano,Conti,23,24,22
Gabriele,De Luca,29,28,30
Riccardo,Sartori,19,18,20
Federico,Parisi,26,25,27
Lorenzo,Martini,30,29,30L
Pietro,Romano,15,17,16
Enrico,Testa,20,22,21
Nicola,Serra,17,16,18
Paolo,Giordano,24,23,25
Michele,Coppola,22,21,20
Roberto,Barbieri,28,27,29
Angelo,Milani,14,12,15
Antonio,Marchetti,25,24,26
Filippo,Rinaldi,23,22,24
Emanuele,Pellegrini,26,27,25
Daniele,Villa,19,20,18
Massimo,Russo,21,22,23
Giulio,Grassi,20,19,21
Carlo,De Santis,27,28,27
Emilio,Caputo,29,30,29
Sergio,Longo,18,17,19
